GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin Utils,biz.gabrys.maven.plugin.util.timer,SystemTimer,18,65,1,7,3,19,2,7,1,4
Maven Plugin Utils,biz.gabrys.maven.plugin.util.timer,Time,9,166,1,25,1,27,2,16,1,4
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,DestinationFileCreator,0,69,0,2,0,20,0,5,0,4
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,LoggingFileFilter,10,54,2,6,2,16,2,5,0,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,ScannerFactory,0,23,0,4,0,7,0,4,0,2
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,RegexFileFilter,0,97,0,10,0,19,0,11,0,6
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,AntFileScanner,0,89,0,8,0,17,0,9,0,5
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,RegexFileFilterException,0,4,0,0,0,2,0,1,0,1
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,RegexFileScanner,11,33,0,4,2,9,1,5,1,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,LoggingDirectoryScanner,27,8,3,1,5,4,3,1,1,1
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,ScannerPatternFormat,5,68,0,4,0,7,1,6,1,4
Maven Plugin Utils,biz.gabrys.maven.plugin.util.io,LoggerUtils,3,22,0,6,2,3,1,4,1,1
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter,ParametersLogBuilder.Container,3,18,0,0,1,7,1,3,1,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter,ParametersLogBuilder.DebugInternalLoggerAdapter,0,15,0,0,0,6,0,3,0,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter,ParametersLogBuilder.InfoInternalLoggerAdapter,0,15,0,0,0,6,0,3,0,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter,ParametersLogBuilder,10,238,2,12,2,52,2,18,0,13
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.converter,AbstractValueToStringConverter,0,17,0,4,0,6,0,4,0,2
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.converter,ObjectToStringConverter,0,6,0,0,0,2,0,2,0,2
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.converter,DefaultValueToStringConverter,0,68,0,4,0,15,0,5,0,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.converter,ArrayToStringConverter,0,8,0,0,0,2,0,2,0,2
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.converter,CollectionToStringConverter,0,10,0,0,0,3,0,2,0,2
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.sanitizer,LazySimpleSanitizer,0,11,0,0,0,4,0,2,0,2
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.sanitizer,AbstractSimpleSanitizer,0,20,0,2,0,7,0,4,0,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.sanitizer,AlwaysValidSanitizer,0,9,0,0,0,4,0,3,0,3
Maven Plugin Utils,biz.gabrys.maven.plugin.util.parameter.sanitizer,SimpleSanitizer,0,10,0,0,0,4,0,2,0,2
